Time.hours,Time.days,Treatment,Flask,CO2.ppm,m.z
391.0,16.29166667,12C700,10,1476.4750099999999,44
463.5,19.3125,12C700,10,2277.04069,44
487.0,20.29166667,12C700,10,508.62625,44
41.0,1.7083333330000001,12C_Control,11,171.03595,44
114.0,4.75,12C_Control,11,88.58879,44
157.5,6.5625,12C_Control,11,83.56053,44
204.5,8.520833332999999,12C_Control,11,543.0539200000001,44
274.5,11.4375,12C_Control,11,980.2433800000001,44
321.5,13.39583333,12C_Control,11,625.2207400000001,44
391.0,16.29166667,12C_Control,11,468.7354,44
463.5,19.3125,12C_Control,11,1686.96468,44
487.0,20.29166667,12C_Control,11,313.63466,44
535.0,22.29166667,12C_Control,11,398.55941,44
581.5,24.22916667,12C_Control,11,381.44502,44
653.25,27.21875,12C_Control,11,682.98564,44
699.75,29.15625,12C_Control,11,239.05293999999998,44
749.75,31.23958333,12C_Control,11,129.07347,44
796.25,33.17708333,12C_Control,11,390.32478,44
815.25,33.96875,12C_Control,11,194.35299999999998,44
868.25,36.17708333,12C_Control,11,348.39502000000005,44
915.25,38.13541667,12C_Control,11,92.14057,44
962.75,40.11458333,12C_Control,11,259.07234,44
986.75,41.11458333,12C_Control,11,183.80623,44
1031.25,42.96875,12C_Control,11,260.89955,44
1078.75,44.94791667,12C_Control,11,380.55237,44
1103.0,45.95833333,12C_Control,11,181.15108,44
1126.0,46.91666667,12C_Control,11,7.62228,44
1150.0,47.91666667,12C_Control,11,73.44756,44
41.0,1.7083333330000001,12C_Control,12,156.9848,44
114.0,4.75,12C_Control,12,129.89751,44
157.5,6.5625,12C_Control,12,89.95013,44
204.5,8.520833332999999,12C_Control,12,731.59992,44
274.5,11.4375,12C_Control,12,1061.71088,44
321.5,13.39583333,12C_Control,12,800.6716200000001,44
391.0,16.29166667,12C_Control,12,1426.19909,44
463.5,19.3125,12C_Control,12,1615.82498,44
487.0,20.29166667,12C_Control,12,523.20938,44
535.0,22.29166667,12C_Control,12,641.29431,44
581.5,24.22916667,12C_Control,12,755.6691900000001,44
653.25,27.21875,12C_Control,12,590.5202099999999,44
699.75,29.15625,12C_Control,12,393.52017,44
749.75,31.23958333,12C_Control,12,383.33454,44
796.25,33.17708333,12C_Control,12,417.52819,44
815.25,33.96875,12C_Control,12,240.82595,44
868.25,36.17708333,12C_Control,12,370.7123,44
915.25,38.13541667,12C_Control,12,103.99542,44
962.75,40.11458333,12C_Control,12,257.30024,44
986.75,41.11458333,12C_Control,12,212.17011000000002,44
1031.25,42.96875,12C_Control,12,272.79071,44
1078.75,44.94791667,12C_Control,12,240.55821,44
1103.0,45.95833333,12C_Control,12,169.93063,44
1126.0,46.91666667,12C_Control,12,163.82082,44
1150.0,47.91666667,12C_Control,12,107.46808999999999,44
41.0,1.7083333330000001,12C_Control,13,328.36732,44
114.0,4.75,12C_Control,13,245.64462000000003,44
157.5,6.5625,12C_Control,13,86.84612,44
204.5,8.520833332999999,12C_Control,13,770.20748,44
274.5,11.4375,12C_Control,13,1122.05781,44
321.5,13.39583333,12C_Control,13,689.38325,44
391.0,16.29166667,12C_Control,13,1306.5948,44
463.5,19.3125,12C_Control,13,1874.3832899999998,44
487.0,20.29166667,12C_Control,13,643.58156,44
535.0,22.29166667,12C_Control,13,822.61675,44
581.5,24.22916667,12C_Control,13,957.49679,44
653.25,27.21875,12C_Control,13,796.40224,44
699.75,29.15625,12C_Control,13,438.70480999999995,44
749.75,31.23958333,12C_Control,13,428.7108,44
796.25,33.17708333,12C_Control,13,397.91747000000004,44
815.25,33.96875,12C_Control,13,305.09937,44
41.0,1.7083333330000001,12C_Control,14,86.65496,44
114.0,4.75,12C_Control,14,94.20836,44
157.5,6.5625,12C_Control,14,168.12628,44
204.5,8.520833332999999,12C_Control,14,219.35571000000002,44
274.5,11.4375,12C_Control,14,1001.4165800000001,44
321.5,13.39583333,12C_Control,14,262.77049,44
391.0,16.29166667,12C_Control,14,488.52965,44
463.5,19.3125,12C_Control,14,1724.3198,44
487.0,20.29166667,12C_Control,14,555.91221,44
535.0,22.29166667,12C_Control,14,833.21299,44
581.5,24.22916667,12C_Control,14,772.54581,44
653.25,27.21875,12C_Control,14,761.84175,44
699.75,29.15625,12C_Control,14,412.40181,44
749.75,31.23958333,12C_Control,14,430.39267,44
796.25,33.17708333,12C_Control,14,417.29898,44
815.25,33.96875,12C_Control,14,217.89372000000003,44
41.0,1.7083333330000001,12C_Control,15,142.62624,44
114.0,4.75,12C_Control,15,104.64560999999999,44
157.5,6.5625,12C_Control,15,76.39386999999999,44
204.5,8.520833332999999,12C_Control,15,411.96134,44
274.5,11.4375,12C_Control,15,810.40491,44
321.5,13.39583333,12C_Control,15,480.83964000000003,44
391.0,16.29166667,12C_Control,15,559.5745099999999,44
463.5,19.3125,12C_Control,15,861.20425,44
487.0,20.29166667,12C_Control,15,419.59659000000005,44
41.0,1.7083333330000001,13C100,16,155.13697,44
114.0,4.75,13C100,16,211.89719,44
157.5,6.5625,13C100,16,236.80216000000001,44
204.5,8.520833332999999,13C100,16,612.59617,44
274.5,11.4375,13C100,16,726.87001,44
321.5,13.39583333,13C100,16,263.40776,44
391.0,16.29166667,13C100,16,793.1310900000001,44
463.5,19.3125,13C100,16,793.1068,44
487.0,20.29166667,13C100,16,216.05768999999998,44
535.0,22.29166667,13C100,16,734.29755,44
581.5,24.22916667,13C100,16,556.47011,44
653.25,27.21875,13C100,16,433.84045999999995,44
699.75,29.15625,13C100,16,727.05835,44
749.75,31.23958333,13C100,16,451.80284000000006,44
796.25,33.17708333,13C100,16,349.67356,44
815.25,33.96875,13C100,16,308.90509,44
868.25,36.17708333,13C100,16,763.32415,44
915.25,38.13541667,13C100,16,196.15496000000002,44
962.75,40.11458333,13C100,16,374.24412,44
986.75,41.11458333,13C100,16,216.9713,44
1031.25,42.96875,13C100,16,721.83389,44
1078.75,44.94791667,13C100,16,372.24721,44
1103.0,45.95833333,13C100,16,277.88921,44
1126.0,46.91666667,13C100,16,24.97178,44
1150.0,47.91666667,13C100,16,459.55622,44
41.0,1.7083333330000001,13C100,17,692.62368,44
114.0,4.75,13C100,17,363.63349,44
157.5,6.5625,13C100,17,245.62771,44
204.5,8.520833332999999,13C100,17,999.27875,44
274.5,11.4375,13C100,17,937.79479,44
321.5,13.39583333,13C100,17,326.21943999999996,44
391.0,16.29166667,13C100,17,864.9182900000001,44
463.5,19.3125,13C100,17,785.35307,44
487.0,20.29166667,13C100,17,223.542,44
535.0,22.29166667,13C100,17,767.11578,44
581.5,24.22916667,13C100,17,475.91724000000005,44
653.25,27.21875,13C100,17,481.23655,44
699.75,29.15625,13C100,17,832.6415900000001,44
749.75,31.23958333,13C100,17,442.27842999999996,44
796.25,33.17708333,13C100,17,381.44653,44
815.25,33.96875,13C100,17,221.70002999999997,44
868.25,36.17708333,13C100,17,650.7634400000001,44
915.25,38.13541667,13C100,17,212.92432000000002,44
962.75,40.11458333,13C100,17,428.13120999999995,44
986.75,41.11458333,13C100,17,226.88581000000002,44
1031.25,42.96875,13C100,17,691.3991900000001,44
1078.75,44.94791667,13C100,17,539.38465,44
1103.0,45.95833333,13C100,17,266.60742,44
1126.0,46.91666667,13C100,17,29.78166,44
1150.0,47.91666667,13C100,17,401.39365,44
41.0,1.7083333330000001,13C100,18,218.17553999999998,44
114.0,4.75,13C100,18,98.93887,44
157.5,6.5625,13C100,18,176.46294,44
204.5,8.520833332999999,13C100,18,639.73743,44
274.5,11.4375,13C100,18,253.35332999999997,44
321.5,13.39583333,13C100,18,79.19226,44
391.0,16.29166667,13C100,18,239.73942000000002,44
463.5,19.3125,13C100,18,435.60818,44
487.0,20.29166667,13C100,18,301.2675,44
535.0,22.29166667,13C100,18,741.83244,44
581.5,24.22916667,13C100,18,419.24241,44
653.25,27.21875,13C100,18,490.408,44
699.75,29.15625,13C100,18,318.1786,44
749.75,31.23958333,13C100,18,349.02402,44
796.25,33.17708333,13C100,18,357.35711000000003,44
815.25,33.96875,13C100,18,176.72252,44
868.25,36.17708333,13C100,18,683.4444599999999,44
915.25,38.13541667,13C100,18,92.81814,44
962.75,40.11458333,13C100,18,428.23907,44
986.75,41.11458333,13C100,18,210.60949,44
1031.25,42.96875,13C100,18,684.65385,44
1078.75,44.94791667,13C100,18,349.45795,44
1103.0,45.95833333,13C100,18,277.54643,44
1126.0,46.91666667,13C100,18,21.7601,44
1150.0,47.91666667,13C100,18,398.94852000000003,44
41.0,1.7083333330000001,13C100,19,638.90435,44
114.0,4.75,13C100,19,324.22796,44
157.5,6.5625,13C100,19,271.85992000000005,44
204.5,8.520833332999999,13C100,19,836.4779,44
274.5,11.4375,13C100,19,608.47497,44
321.5,13.39583333,13C100,19,343.49483,44
391.0,16.29166667,13C100,19,911.1537199999999,44
463.5,19.3125,13C100,19,810.68021,44
487.0,20.29166667,13C100,19,267.38602000000003,44
535.0,22.29166667,13C100,19,813.31419,44
581.5,24.22916667,13C100,19,514.7881,44
653.25,27.21875,13C100,19,469.66258,44
699.75,29.15625,13C100,19,734.1759,44
749.75,31.23958333,13C100,19,435.48880999999994,44
796.25,33.17708333,13C100,19,371.94746000000004,44
815.25,33.96875,13C100,19,186.12076000000002,44
868.25,36.17708333,13C100,19,738.01716,44
915.25,38.13541667,13C100,19,151.32601,44
962.75,40.11458333,13C100,19,658.1152,44
986.75,41.11458333,13C100,19,216.8795,44
1031.25,42.96875,13C100,19,697.54422,44
1078.75,44.94791667,13C100,19,294.09214,44
1103.0,45.95833333,13C100,19,236.16455,44
1126.0,46.91666667,13C100,19,55.00881999999999,44
1150.0,47.91666667,13C100,19,376.91138,44
41.0,1.7083333330000001,13C100,20,687.89842,44
114.0,4.75,13C100,20,428.33103,44
157.5,6.5625,13C100,20,277.70232000000004,44
204.5,8.520833332999999,13C100,20,945.89174,44
274.5,11.4375,13C100,20,962.2769199999999,44
321.5,13.39583333,13C100,20,307.34661,44
391.0,16.29166667,13C100,20,881.7090800000001,44
463.5,19.3125,13C100,20,796.72255,44
487.0,20.29166667,13C100,20,296.5955,44
535.0,22.29166667,13C100,20,849.43216,44
581.5,24.22916667,13C100,20,963.6618,44
653.25,27.21875,13C100,20,499.03857,44
699.75,29.15625,13C100,20,768.4051900000001,44
749.75,31.23958333,13C100,20,475.03310999999997,44
796.25,33.17708333,13C100,20,399.9106,44
815.25,33.96875,13C100,20,157.58254,44
